question_norm,count
hợp đồng lao động là gì?,9
hội đồng quản trị là gì?,8
tai nạn lao động là gì?,6
điểm liệt thi tốt nghiệp thpt năm 2023 là bao nhiêu?,5
hộ kinh doanh là gì?,5
mức hưởng chế độ thai sản được quy định như thế nào?,5
công trình xây dựng là gì?,5
thí sinh nhận giấy báo nhập học đại học tại đâu?,5
nhiệm vụ của hội môi trường đô thị việt nam là gì?,4
công ty cổ phần là gì?,4
nhà chung cư là gì?,4
thời hiệu xử lý kỷ luật lao động là bao lâu?,4
nghị định 43/2023/nđ-cp hướng dẫn luật thanh tra có hiệu lực từ ngày nào?,4
đối tượng nào được cộng điểm ưu tiên tuyển sinh vào lớp 10?,4
nghị định 43/2023/nđ-cp khi nào được chính thức áp dụng?,4
khi nào áp dụng nghị định 33/2023/nđ-cp?,4
"trong việc đôn đốc triển khai thực hiện sự chỉ đạo, điều hành của bộ y tế thì văn phòng bộ y tế có những nhiệm vụ và quyền hạn gì?",4
thời hạn giải quyết cấp tài khoản định danh điện tử đối với công dân việt nam là bao lâu?,4
thông tư 24/2023/tt-bca về biển số định danh chính thức áp dụng từ ngày nào?,4
đối tượng nào được tuyển thẳng vào lớp 10?,4
viên chức là ai theo quy định pháp luật?,4
"các yêu cầu về mục đích sử dụng vốn vay, mức cho vay, thời hạn cho vay và lãi suất cho vay như thế nào?",4
chữ ký số là gì?,4
dân quân tự vệ là gì?,4
thực hiện dân chủ trong công tác của cảnh sát môi trường phải bảo đảm các nguyên tắc gì?,3
trong thời gian bao lâu kể từ ngày nhận được quyết định giải thể của tòa án thì công ty phải nộp hồ sơ giải thể?,3
mua xe trả góp là gì?,3
thông tư 14/2023/tt-bgtvt được áp dụng từ ngày nào?,3
mức hỗ trợ kinh phí chữa bệnh nghề nghiệp cho người lao động là bao nhiêu?,3
ai có trách nhiệm đăng ký khai sinh?,3
hợp đồng lao động được quy định như thế nào?,3
thẻ công chức thanh tra chuyên ngành công thương do cơ quan nào cấp?,3
trách nhiệm tổ chức việc ban hành danh mục các mặt hàng nhập khẩu (kèm theo mã hs) thực hiện kiểm tra chuyên ngành thuộc trách nhiệm quản lý của bộ công thương?,3
lịch khám nghĩa vụ quân sự 2024 là khi nào?,3
phạm vi được hưởng của người tham gia bảo hiểm y tế như thế nào?,3
thời hạn giải quyết là bao lâu?,3
điều ước quốc tế là gì?,3
thủ tục nhập học đại học năm học 2023-2024 như thế nào?,3
muốn xây dựng công trình hầm đường bộ đô thị thì không gian xây dựng phải đáp ứng những tiêu chí nào?,3
mức hưởng bảo hiểm xã hội một lần là bao nhiêu?,3
lễ quốc khánh 02/9/2023 được nghỉ bao nhiêu ngày?,3
hệ thống thông gió và hệ thống chiếu sáng trong hầm đường bộ đô thị được quy định như thế nào?,3
danh sách cơ sở đào tạo thẩm tra viên an toàn giao thông đường bộ được công khai ở đâu?,3
thời hạn giải quyết thủ tục chấp thuận cơ sở đào tạo thẩm tra viên an toàn giao thông đường bộ trong bao lâu?,3
nhiệm vụ của giáo viên được quy định như thế nào?,3
mức hưởng chế độ ốm đau của người lao động được quy định như thế nào?,3
thực hiện đặc xá dựa trên những nguyên tắc nào?,3
thời hạn giải quyết đề nghị cấp lại giấy chứng nhận đăng ký hộ kinh doanh là bao lâu?,3
thông tư 24/2023/tt-bca được chính thức áp dụng từ ngày nào?,3
mang thai hộ vì mục đích nhân đạo là gì?,3
nhiệm vụ của hội sinh vật cảnh việt nam là gì?,3
nộp hồ sơ nghiên cứu để thẩm định gửi hội đồng đạo đức trong nghiên cứu y sinh học cấp cơ sở bao gồm những nội dung gì?,3
"trình tự, thủ tục xây dựng kế hoạch thanh tra của thanh tra bộ được pháp luật quy định như thế nào?",3
điều kiện nào để người lao động được hưởng chế độ tai nạn lao động?,3
"cộng tác viên thanh tra giáo dục được hưởng chế độ, chính sách đãi ngộ như thế nào?",3
nguyên tắc xét tuyển đại học như thế nào?,3
lập quy trình bảo trì công trình đường bộ căn cứ vào đâu?,3
nội dung đăng ký khai sinh bao gồm những gì?,3
doanh nghiệp bán hàng đa cấp bị cấm thực hiện những hành vi nào?,3
chứng từ điện tử là gì?,3
để được mang thai hộ vì mục đích nhân đạo cần đáp những điều kiện gì theo quy định?,3
chứng thư số là gì?,3
viện nghiên cứu lập pháp có các đơn vị trực thuộc nào?,3
lịch khám sức khỏe nghĩa vụ quân sự năm 2024 diễn ra trong khoảng thời gian nào?,3
cơ quan nào có thẩm quyền điều chỉnh giấy chứng nhận đăng ký đầu tư?,3
căn cứ tính lệ phí trước bạ như thế nào?,3
có bao nhiêu loại hợp đồng lao động?,3
"trách nhiệm của hãng hàng không trong thực hiện chế độ lao động, kỷ luật đặc thù đối với nhân viên hàng không ra sao?",3
nhập khẩu là gì?,3
hiện nay có bao nhiêu hình thức thăng hạng chức danh nghề nghiệp giáo viên?,3
nhiệm vụ của hội người mù việt nam là gì?,3
công chức là gì?,3
nguyên tắc lập hóa đơn được quy định như thế nào?,3
điều kiện để lập di chúc hợp pháp là gì?,3
đánh giá dự án sử dụng vốn nhà nước ngoài đầu tư công được thực hiện như thế nào?,3
nhiệm vụ của hội kinh tế xây dựng việt nam là gì?,3
thu phí điện tử không dừng là gì?,3
hồ sơ đăng ký thường trú gồm những giấy tờ nào?,3
ai là người phải nộp lệ phí trước bạ?,3
hướng giải quyết đối với thí sinh không xác nhận nhập học như thế nào?,3
điểm đen tai nạn giao thông đường bộ sau khi xác định và sơ bộ xếp hạng ưu tiên xử lý thì tiến hành thị sát hiện trường lần đầu để làm gì?,3
nhiệm vụ của hiệp hội các nhà đầu tư việt nam sang campuchia là gì?,3
"nguyên tắc phân loại nội dung phát thanh, truyền hình thể thao, giải trí theo yêu cầu thực hiện như thế nào?",3
điều kiện áp dụng ưu đãi thuế thu nhập doanh nghiệp là gì?,3
thế nào là bảo hiểm xã hội?,3
nhiệm vụ của quỹ hỗ trợ phát triển sinh kế vì cộng đồng là gì?,3
"mục tiêu kế hoạch vay, trả nợ công năm 2022 và chương trình quản lý nợ công 03 năm giai đoạn 2022-2024 là gì?",3
hồ sơ hưởng chế độ dưỡng sức sau sinh con cần chuẩn bị những giấy tờ gì?,3
mức hưởng chế độ ốm đau được tính như thế nào?,3
nhiệm vụ của cục quản lý đê điều và phòng chống thiên tai là gì?,3
hành vi nào được xem là hành vi bạo lực gia đình?,3
thời gian thực hiện môn học giáo dục quốc phòng và an ninh trong chương trình đào tạo trình độ cao đẳng là bao lâu?,3
cơ quan nào có thẩm quyền thu hồi đất?,3
hợp đồng dịch vụ đấu giá biển số xe ô tô được quy định như thế nào?,3
"giấy chứng nhận đăng ký xe, biển số xe bị thu hồi trong những trường hợp nào?",3
tác động của chính sách khi lập đề nghị xây dựng văn bản quy phạm pháp luật được đánh giá gồm những gì?,3
"trình tự, thủ tục chứng nhận lãnh sự tại bộ ngoại giao được thực hiện thế nào?",3
căn cước công dân được hiểu như thế nào?,3
ai có quyền công nhận công chức thanh tra chuyên ngành khoa học và công nghệ?,2
hồ sơ đề nghị quyết định chủ trương đầu tư dự án ppp gồm những gì?,2
"cơ sở đào tạo đấu thầu có trách nhiệm gì trong hoạt động đào tạo, bồi dưỡng?",2
tài chính công đoàn bao gồm các nguồn thu nào theo quy định?,2
nghị định 13/2023/nđ-cp về bảo vệ dữ liệu cá nhân được áp dụng từ ngày nào?,2
một nhiệm kỳ của hội đồng nhân dân là bao lâu?,2
nhiệm vụ của hội phòng chống hiv/aids việt nam là gì?,2
quyền hạn của liên đoàn thể dục việt nam là gì?,2
lệ phí thực hiện đăng ký khai thác tuyến vận tải hành khách cố định giữa việt nam và campuchia là bao nhiêu?,2
thời hạn tạm giam bị can để điều tra vụ án hình sự là bao lâu?,2
"cục quản lý y, dược cổ truyền có trách nhiệm gì trong việc bào chế thuốc cổ truyền?",2
bị cáo là gì?,2
quỹ thiện tâm có tư cách pháp nhân và có được mở tài khoản tại kho bạc nhà nước không?,2
cá nhân không trực tiếp sản xuất nông nghiệp nhận chuyển nhượng đất trồng lúa thì bị xử phạt như thế nào?,2
điều kiện để hưởng chế độ ốm đau là gì?,2
việc tiếp nhận đăng ký cai nghiện ma túy tự nguyện được quy định thế nào?,2
hành khách và tổ bay khi tham gia vận tải hàng không nội địa cần lưu ý thực hiện biện pháp chống dịch covid-19 như thế nào?,2
uỷ ban nhân dân thành phố hà nội có trách nhiệm gì trong việc thực hiện nghị quyết 10/2023/nq-hđnd?,2
chi hỗ trợ học nghề cho người sau cai nghiện ma túy được thực hiện như thế nào?,2
"chấp hành viên có nhiệm vụ, quyền hạn như thế nào?",2
trường hợp nào được tạm hoãn nghĩa vụ quân sự?,2
phó giám đốc học viện quốc phòng có trách nhiệm như thế nào?,2
người học ngành công nghệ kỹ thuật ô tô trình độ cao đẳng sau khi tốt nghiệp có thể làm những công việc nào?,2
hình phạt cải tạo không giam giữ được áp dụng đối với người phạm tội như thế nào?,2
"hồ sơ, thủ tục đăng ký tạm trú như thế nào?",2
bằng khen của bộ trưởng bộ quốc phòng được trao tặng khi nào?,2
dịch vụ sự nghiệp công sử dụng kinh phí ngân sách nhà nước là gì?,2
muốn trở thành thành viên ban thanh tra nhân dân ở doanh nghiệp nhà nước phải đáp ứng những tiêu chuẩn gì?,2
lực lượng bảo vệ dân phố có những quyền hạn như thế nào?,2
khi đăng ký khai sinh có phải đóng lệ phí hộ tịch không?,2
ai có quyền thực hiện hoạt động pha chế xăng dầu?,2
quy trình lựa chọn sách giáo khoa của cơ sở giáo dục phổ thông thực hiện như thế nào?,2
hóa chất độc là gì?,2
phó chủ tịch hội đồng đạo đức trong nghiên cứu y sinh học cấp quốc gia phải có ít nhất bao nhiêu năm kinh nghiệm?,2
bị mất bằng lái xe b2 thì có được cấp lại bằng lái xe mới không?,2
thời điểm thẻ bảo hiểm y tế có giá trị sử dụng là khi nào?,2
hoạt động khuyến mại là gì?,2
thời hạn bảo vệ bí mật nhà nước là bao lâu?,2
dụng cụ điện cầm tay truyền động bằng động cơ phải đảm bảo an toàn đối với các nguy hiểm cơ học như thế nào?,2
tem kiểm định xe cơ giới hết hiệu lực khi nào?,2
công chức trong hệ thống viện kiểm sát nhân dân được pháp luật quy định như thế nào?,2
trách nhiệm đăng ký khai sinh,2
hồ sơ thủ tục đề nghị hỗ trợ học nghề cần chuẩn bị những giấy tờ gì?,2
việc kiểm tra tên và trạng thái hàng hóa vận tải bằng đường sắt quốc gia được thực hiện ra sao?,2
quyết định chứng nhận chuẩn đo lường bao gồm những nội dung gì?,2
cơ sở vật chất của trung tâm giáo dục thường xuyên được pháp luật quy định như thế nào?,2
văn phòng bộ thuộc bộ giao thông vận tải có chức năng gì?,2
"cơ sở khám bệnh, chữa bệnh có trách nhiệm gì đối với người bệnh tử vong?",2
phó chủ tịch ubnd xã có những nhiệm vụ gì?,2
mục đích của tiêu chuẩn chức danh,2
"phó thuyền trưởng tàu tuần tra, kiểm soát hải quan phải có phẩm chất đạo đức như thế nào?",2
tổng mức đầu tư xây dựng là gì?,2
kiểm tra viên phải chịu trách nhiệm trước những ai?,2
cá nhân không đủ điều kiện tham gia đăng ký làm chủ nhiệm nhiệm vụ khoa học và công nghệ cấp bộ trong trường hợp nào?,2
hợp đồng lao động xác định thời hạn là hợp đồng có thời hạn bao lâu?,2
khi có nhu cầu xác nhận lại thời hạn sử dụng đất nông nghiệp trồng cây lâu năm thực hiện như thế nào?,2
"những việc cán bộ, công chức tham gia ý kiến trong cơ quan hành chính gồm những việc nào?",2
điều kiện được cấp thị thực theo quy định hiện nay ra sao?,2
mật mã dân sự là gì?,2
nguyên tắc thực hiện dự án đầu tư là gì?,2
"việc trông nom, chăm sóc, nuôi dưỡng, giáo dục con sau khi ly hôn được quy định ra sao?",2
hành vi bạo lực gia đình là những hành vi nào?,2
"trưởng đoàn thanh tra có những nhiệm vụ, quyền hạn gì?",2
hồ sơ đăng ký xe mới gồm những gì?,2
nội quy lao động bao gồm những nội dung chủ yếu nào?,2
người sử dụng lao động tự ý khấu trừ tiền lương của người lao động trái với quy định thì bị xử phạt như thế nào?,2
chương trình môn học giáo dục quốc phòng và an ninh trong chương trình đào tạo trình độ trung cấp có thời gian thực hiện bao lâu và bao gồm những nội dung gì?,2
khi nào luật sửa đổi về xuất nhập cảnh 2023 chính thức có hiệu lực?,2
hồ sơ hưởng bảo hiểm xã hội một lần gồm những gì?,2
cơ quan nào quản lý cơ sở dữ liệu chuyên ngành nội vụ?,2
"trường của cơ quan nhà nước có hình thức đào tạo, bồi dưỡng do ai quản lý?",2
mức hưởng bảo hiểm xã hội một lần được quy định như thế nào?,2
thời hạn sử dụng của giấy chứng nhận an ninh trật tự là bao lâu?,2
ngày truyền thống được công nhận đối với cơ quan nhà nước cấp tỉnh phải đáp ứng những điều kiện nào?,2
có bao nhiêu loại giấy phép xây dựng?,2
đoàn viên được hưởng những quyền lợi gì khi tham gia công đoàn?,2
quỹ chia sẻ tình thương có tư cách pháp nhân không?,2
có hỗ trợ chi phí thuê chuyên gia tư vấn cho người cai nghiện bắt buộc về chuyển đổi hành vi phục hồi nhân cách không?,2
ai có thẩm quyền cấp giấy phép phân loại phim?,2
"khi khảo nghiệm tính đồng nhất giống ngô, chất lượng hạt giống gửi khảo nghiệm được quy định như thế nào?",2
biện pháp khắc phục hậu quả khi chậm đóng bảo hiểm xã hội bắt buộc cho người lao động,2
thời hiệu khiếu nại là bao lâu?,2
dự thảo nghị quyết của hội đồng nhân dân cấp xã được thông qua khi nào?,2
ngày rút vốn của khoản vay nước ngoài dưới hình thức trả chậm được xác định như thế nào?,2
mục tiêu của hoạt động xây dựng và tổ chức thực hiện kế hoạch giáo dục của nhà trường được quy định như thế nào?,2
"lực lượng, phương tiện nào tham gia tìm kiếm, cứu nạn trong vùng nước cảng biển?",2
"nhiệm vụ, quyền hạn của hội đồng nhân dân thành phố hà nội quy định như thế nào?",2
đăng ký biện pháp bảo đảm là gì?,2
sở tư pháp thuộc ủy ban nhân dân cấp tỉnh thực hiện những chức năng gì?,2
sở giao thông vận tải có trách nhiệm gì đối với hệ thống đường địa phương?,2
những đối tượng nào không phải chịu thuế sử dụng đất phi nông nghiệp?,2
"khi áp dụng phương pháp xác định giá gói thầu, phương pháp được sử dụng đầu tiên là phương pháp nào?",2
mức hưởng trợ cấp thất nghiệp của người lao động là bao nhiêu?,2
sổ đăng ký tàu biển quốc gia việt nam bao gồm những nội dung cơ bản nào?,2
đối tượng bảo hiểm cháy nổ bắt buộc là gì?,2
cơ quan lãnh đạo cao nhất của liên đoàn luật sư việt nam là cơ quan nào?,2
thời hạn xử lý kỷ luật đối với người đại diện phần vốn nhà nước được tính từ thời điểm nào?,2
thời hạn giải quyết hồ sơ đề nghị cấp giấy phép hành nghề khoan nước dưới đất quy mô lớn bao lâu?,2
quản lý rủi ro trong quản lý thuế được quy định như thế nào?,2
quy trình đánh giá định kỳ việc duy trì đáp ứng thực hành tốt phân phối thuốc của cơ sở phân phối được quy định như thế nào?,2
hoạt động báo cáo biến cố bất lợi trong nghiên cứu thử nghiệm lâm sàng tại việt nam bao gồm những nội dung nào?,2
trung tâm giám sát an toàn không gian mạng quốc gia có tư cách pháp nhân không?,2
điều kiện để đăng ký hành nghề kiểm toán là gì?,2
"cảnh sát môi trường có trách nhiệm gì để thực hiện dân chủ trong công tác phòng ngừa, đấu tranh chống tội phạm?",2
thế nào là hộ cận nghèo?,2
có thể thực hiện chứng thực ở những địa điểm nào?,2
bạo lực gia đình là gì?,2
nguyên tắc cung ứng sản phẩm phái sinh giá cả hàng hóa như thế nào?,2
"nhận, thực hiện lệnh, xác nhận kết quả giao dịch chứng khoán phái sinh như thế nào?",2
ai có thẩm quyền cho phép thành lập trung tâm hỗ trợ phát triển giáo dục hòa nhập dành cho người khuyết tật?,2
hội viên chính thức của liên đoàn thương mại và công nghiệp việt nam có quyền gì?,2
quy chế phối hợp hoạt động dịch vụ hoa tiêu hàng hải trong một vùng hoa tiêu hàng hải bắt buộc phải có những nội dung cơ bản nào?,2
bệnh nghề nghiệp được hiểu như thế nào?,2
quản lý môn học và tổ chức dạy học môn học giáo dục quốc phòng và an ninh trong chương trình đào tạo trình độ cao đẳng được quy định như thế nào?,2
những hành vi nào được xem là bạo lực gia đình?,2
lựa chọn biện pháp khắc phục điểm đen tai nạn giao thông đường bộ theo nguyên tắc nào?,2
giấy chứng nhận đăng ký hoạt động bán hàng đa cấp có hiệu lực trong bao lâu?,2
hạn tuổi phục vụ tại ngũ cao nhất của quân nhân chuyên nghiệp là bao nhiêu?,2
trách nhiệm của ubnd tphcm trong thí điểm cơ chế đặc thù theo nghị quyết 98/2023/qh15 như thế nào?,2
hồ sơ đề nghị cấp thẻ tư vấn viên pháp luật gồm những giấy tờ gì?,2
thủ tục giải quyết thôi việc theo nguyện vọng đối với công chức được thực hiện như thế nào?,2
có được thanh toán bằng ngoại tệ trên lãnh thổ việt nam không?,2
khi nào sẽ bắt đầu định danh biển số xe?,2
cơ quan nào có trách nhiệm chi trả lương hưu tháng 8/2023?,2
trong công tác dược thì khoa y dược cổ truyền trong bệnh viện nhà nước có những nhiệm vụ gì?,2
thẩm định hồ sơ công nhận ngày truyền thống của cơ quan nhà nước cấp bộ bao gồm những nội dung nào?,2
"việc in, sử dụng, quản lý các loại mẫu giấy tờ xuất nhập cảnh của người nước ngoài hiện nay ra sao?",2
quy định của pháp luật về điều kiện của người lái xe tham gia giao thông?,2
thanh tra chuyên ngành đối với cơ sở giáo dục mầm non thuộc thẩm quyền của ai?,2
"nội dung xác minh tài sản, thu nhập được quy định như thế nào?",2
bằng lái xe b2 hết hạn sử dụng thì xử lý như thế nào?,2
"hợp tác xã, liên hiệp hợp tác xã giải thể khi nào?",2
doanh nghiệp chế xuất được hiểu như thế nào?,2
điều kiện để được hưởng lương hưu là gì?,2
"người học ngành kỹ thuật máy lạnh và điều hòa không khí trình độ cao đẳng phải có khả năng học tập, nâng cao trình độ như thế nào?",2
"vợ, chồng đều đồng ý ly hôn nhưng lại chưa thỏa thuận được việc chia tài sản chung thì tòa án có chấp nhận yêu cầu công nhận thuận tình ly hôn không?",2
viện trưởng viện kiểm sát nhân dân cấp tỉnh do ai có thẩm quyền bổ nhiệm?,2
việc quy hoạch phát triển hệ thống cảng cạn gồm những nội dung nào?,2
lựa chọn nhà đầu tư thực hiện dự án đầu tư,2
nhà nước thu hồi đất không được bồi thường về đất trong những trường hợp nào?,2
thời hạn cấp giấy chứng nhận đủ điều kiện kinh doanh dịch vụ kế toán là bao lâu?,2
trách nhiệm của tổ chức tín dụng đối với thông tin khách hàng được quy định như thế nào?,2
quyền hạn của tạp chí công thương là gì?,2
những đối tượng nào sẽ không chịu thuế giá trị gia tăng?,2
giám đốc đại học quốc gia thành phố hồ chí minh có phải thành viên hội đồng đại học quốc gia không?,2
viên chức được bổ nhiệm chức danh kiến trúc sư hạng 3 có các nhiệm vụ thế nào?,2
thời hạn lập biên bản vi phạm hành chính được quy định như thế nào?,2
ai có quyền bổ nhiệm giám đốc đại học quốc gia thành phố hồ chí minh?,2
"căn cứ để giao đất, cho thuê đất, cho phép chuyển mục đích sử dụng đất",2
"các nguồn lực thực hiện chính sách, chế độ ưu đãi người có công với cách mạng và thân nhân của người có công với cách mạng?",2
tiêu chuẩn tuyển chọn đi nghĩa vụ quân sự được quy định như thế nào?,2
"tài sản góp vốn của hợp tác xã, liên hiệp hợp tác xã được quy định như thế nào?",2
sở tư pháp thuộc ủy ban nhân dân cấp tỉnh có nhiệm vụ và quyền hạn gì trong công tác dõi tình hình thi hành pháp luật?,2
biên bản giao nhận người có hành vi vi phạm hành chính phải được lập thành bao nhiêu bản?,2
lao động nam muốn hưởng chế độ thai sản khi vợ sinh con cần chuẩn bị hồ sơ như thế nào?,2
giá trị pháp lý của chữ ký số có tương đương với giá trị của chữ ký trên văn bản được đóng dấu không?,2
hồ sơ đề nghị cấp lại chứng chỉ hành nghề xây dựng bao gồm những gì?,2
về hồ sơ nộp khi thực hiện thủ tục tách thửa đất,2
bộ kế hoạch và đầu tư có trách nhiệm gì trong việc quản lý giảng viên về đấu thầu?,2
quy chế chứng thực của tổ chức cung cấp dịch vụ chứng thực chữ ký số quốc gia do cơ quan nào ban hành?,2
thực hiện dân chủ trong công tác của cảnh sát môi trường nhằm mục đích gì?,2
không vi phạm giao thông thì cảnh sát giao thông có được dừng xe để kiểm tra không?,2
hồ sơ đề nghị cấp giấy phép phân loại phim được quy định như thế nào?,2
sinh viên được miễn kiểm tra môn học giáo dục quốc phòng và an ninh trong chương trình đào tạo trình độ cao đẳng khi thuộc trường hợp nào?,2
án treo được quy định trong luật hiện hành ra sao?,2
thời gian thẩm định hồ sơ lựa chọn nhà thầu được quy định thế nào?,2
văn phòng bộ văn hóa thể thao và du lịch có những chức danh lãnh đạo nào?,2
thời gian nhập học đại học năm 2023-2024 là khi nào?,2
hội bảo vệ quyền tác phẩm điện ảnh và phim truyền hình việt nam có những quyền hạn gì?,2
chủ sở hữu quyền tác giả là ai?,2
quy định về xử lý dữ liệu cá nhân của trẻ em áp dụng từ ngày nào?,2
ai có quyền quyết định việc đổi thẻ thanh tra kiểm toán nhà nước?,2
tài khoản định danh điện tử mức độ 2 của cá nhân người việt nam gồm có những thông tin gì theo quy định?,2
nhiệm vụ của công chức tư pháp hộ tịch cấp xã là gì?,2
doanh nghiệp không công bố nội dung đăng ký doanh nghiệp có bị xử phạt không?,2
mục tiêu tổng quát của chương trình làm quen với tiếng anh dành cho trẻ em mẫu giáo là gì?,2
giảm trừ gia cảnh là gì?,2
chương trình học lớp 10 năm học 2023-2024 như thế nào?,2
để được xếp loại chất lượng ở mức hoàn thành xuất sắc nhiệm vụ thì công chức không giữ chức vụ lãnh đạo cần đáp ứng những tiêu chí nào?,2
kỳ hạn người sử dụng lao động phải trả lương cho người lao động được quy định như thế nào?,2
hải đội trưởng dân quân thường trực thực hiện các nhiệm vụ gì?,2
khi nào đấu giá tài sản theo thủ tục rút gọn?,2
tổ chức kỷ niệm ngày thành lập vào năm tròn đối với cơ quan nhà nước cấp tỉnh được pháp luật quy định như thế nào?,2
xuất ngũ được hiểu như thế nào?,2
như thế nào là công ty cổ phần?,2
lao động chưa thành niên là gì?,2
quy trình bảo trì công trình đường bộ bao gồm những nội dung nào?,2
dự án ppp là gì?,2
người bị tai nạn giao thông có thuộc đối tượng được hưởng trợ cấp xã hội không?,2
muốn vay vốn ưu đãi để mua nhà ở xã hội phải đáp ứng các điều kiện nào?,2
trách nhiệm của cơ quan cấp giấy phép hoạt động điện lực như thế nào?,2
"sử dụng, quyết toán kinh phí tổ chức thực hiện bồi thường, hỗ trợ, tái định cư và cưỡng chế kiểm đếm như thế nào?",2
"tập hợp, xây dựng khối đại đoàn kết toàn dân tộc trong mặt trận tổ quốc việt nam theo nguyên tắc nào?",2
giám sát việc bảo đảm thực hiện quyền tiếp cận thông tin như thế nào?,2
mã số thuế cá nhân là gì?,2
các hành vi nào bị nghiêm cấm trong bảo hiểm y tế?,2
"hình thức, nội dung các vòng thi tuyển công chức như thế nào?",2
công ty trách nhiệm hữu hạn một thành viên có được phát hành trái phiếu hay không?,2
tội cố ý gây thương tích hoặc gây tổn hại cho sức khỏe của người khác,2
kinh phí hoạt động của hội đồng bầu cử quốc gia do ai bảo đảm?,2
"kinh doanh rượu có nồng độ cồn dưới 5,5 độ theo hình thức bán lẻ thì có bắt buộc phải có giấy phép kinh doanh rượu không?",2
phương án điều tra thống kê tiền tệ và ngân hàng của ngân hàng nhà nước ngoài chương trình điều tra thống kê quốc gia có phương án được quy định như thế nào?,2
trốn phạt nguội thì bị xử lý như thế nào?,2
hạn chót nộp lệ phí xét tuyển nguyện vọng là khi nào?,2
trình tự thủ tục cấp chứng thư xuất khẩu đối với hàng dệt may xuất khẩu sang mê-hi-cô theo hiệp định cptpp như thế nào?,2
cổ phiếu là gì?,2
"quản lý, vận hành mạng truyền số liệu chuyên dùng của các cơ quan đảng, nhà nước theo nguyên tắc nào?",2
mức chi hỗ trợ tiền ăn cho đại biểu là khách mời không có trong danh sách trả lương của cơ quan nhà nước là bao nhiêu?,2
thủ tục chấm phúc khảo bài thi tốt nghiệp thpt năm 2023 được hướng dẫn như thế nào?,2
nghĩa vụ của công ty luật nước ngoài hành nghề tại việt nam là gì?,2
việc ký ban hành văn bản hành chính được quy định thế nào?,2
"chủ tịch hội đồng quản lý liên ngành quỹ phòng, chống tác hại của thuốc lá có những nhiệm vụ và quyền hạn gì?",2
thanh niên hoàn thành nghĩa vụ công an có được hỗ trợ đào tạo nghề không?,2
thời gian học tập trong chương trình đào tạo của trường trung cấp nghề được quy ra đơn vị tín chỉ để làm gì và được quy đổi như thế nào?,2
không trả lương làm thêm giờ cho người lao động có bị phạt?,2
cơ sở giáo dục nghề nghiệp bao gồm những đơn vị nào?,2
cơ quan nào có thẩm quyền lập danh sách cử tri?,2
mỗi chứng chỉ giáo dục quốc phòng và an ninh cho sinh viên trường cao đẳng có bao nhiêu số hiệu riêng để theo dõi?,2
pháp nhân thương mại được quy định như thế nào?,2
nhiệm vụ của hội di sản văn hóa việt nam là gì?,2
các loại xe ô tô nào được miễn lệ phí trước bạ theo quy định hiện hành?,2
thẻ căn cước công dân có giá trị sử dụng như thế nào?,2
mua đất bằng giấy viết tay trong giai đoạn 1/7/2014 đến nay được quy định như thế nào?,2
hội kiến trúc sư việt nam có những quyền hạn nào?,2
số lượng thành viên ban thanh tra nhân dân ở doanh nghiệp nhà nước gồm bao nhiêu thành viên?,2
việc phòng ngừa tai nạn giao thông liên quan đến rượu bia được quy định như thế nào?,2
"việc lấy mô, bộ phận cơ thể ở người sau khi chết được thực hiện trong trường hợp nào?",2
thời hạn thanh tra lại là bao lâu?,2
chủ tịch hội đồng dân tộc thực hiện những nhiệm vụ và quyền hạn nào?,2
phải có thời gian công tác bao lâu mới đủ điều kiện được đảm nhiệm chức danh đội trưởng đội quản lý thị trường?,2
